iso3,name,population,gdp_per_capita,gdp_growth,military_expenditure,literacy_rate,human_capital_index,health_expenditure,tertiary_enrollment,science_investment,male_population_pct,life_expectancy
MCO,Monaco,38631,1.0,0.49828985514530916,0,0,0,0.06959845428240789,0.4608775812004965,0,48.9244389221092,1.0
MNG,Mongolia,3524788,0.022694974289970946,0.4501420222855085,0.019581626234736953,0.9788786981947036,0.549394078157783,0.1841993384657839,0.4089748665384549,0.012233824410864697,49.8573171363299,0.5574994909449438
MNE,Montenegro,623525,0.045325638538510835,0.4223211283055563,0.05126225117255972,0,0.5813676655648056,0.3232706293333525,0.3236471821303682,0,48.1300089744533,0.7298739533751489
MAR,Morocco,38081173,0.013669268364054821,0.431262511877635,0.10017440966329881,0,0.3616794706402431,0.1838844350504208,0.2806421457149856,0,50.4239247042101,0.654635616094407
MOZ,Mozambique,34631766,0.0015197336205144236,0.4078909655304382,0.05593389731596663,0.4046489176027305,0.11997531986599126,0.27848861680169473,0,0,48.5163881044934,0.2875525704601092
MMR,Myanmar,54500091,0.003960029296158255,0.3635497279665332,0.1954512774918286,0.8994781097711958,0.31663330546850177,0.12152884083307595,0,0.0026783179280103478,49.7776067933538,0.39106145251396646
NAM,Namibia,3030131,0.014572497817134945,0.4300999115276738,0.07748386187181942,0.8080447161436275,0.26350172304894415,0.316575963469128,0.14483713486039707,0.10099214486261397,48.8363865576724,0.40427468457723953
NRU,Nauru,11947,0.04652734920673089,0.3970967783114352,0,0.9470414086902815,0,0.6553636231608211,0,0,50.9124393102294,0.23990961019396162
NPL,Nepal,29651054,0.004266719868760562,0.42944386163230736,0.02647275970091148,0,0.3625057265449067,0.1875514838881067,0.1151982857011921,0,47.8913010009256,0.5021969744523256
NLD,Netherlands,17993485,0.23386103046056703,0.3927220002958363,0.05369998730738921,0,0.8481504179394921,0.3368760664616197,0.5169422063710704,0.35665162938893974,49.6796679485434,0.8577883892579438
NCL,New Caledonia,292639,0.1007490622353047,0.18553727280464705,0,0,0,0,0,0,49.3280116457478,0.7622245935597265
NZL,New Zealand,5287500,0.17021826566792223,0.3956720362274982,0.03270859905949071,0,0.8243500070334217,0.33906351007019286,0.45940081664015614,0.2432868544749046,49.6859383223142,0.8591662826426777
NIC,Nicaragua,6916140,0.009132311105417169,0.42834202072499666,0.013851944833902174,0,0.36845722428845357,0.2706296190316266,0.1710095331386282,0,49.1886730443098,0.6423011738120644
NER,Niger,27032412,0.00179248670729925,0.5237167211705976,0.06315425259737313,0.0,0.04094217725431402,0.10567184647801536,0,0,50.7735990864005,0.21335760467014003
